timestamp_dt,total_logs,warnings,xml_payloads,function_inputs,responses,unique_correlations,warning_ratio,hour,sin_hour,cos_hour,anomaly_score
2026-01-06 18:34:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:35:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:36:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:37:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:38:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:39:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:40:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:41:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:42:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:43:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:44:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:45:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:46:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:47:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:48:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:49:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:50:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:51:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:52:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:53:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:54:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:55:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:56:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:57:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:58:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:59:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 19:00:00+00:00,0,0,0,0,0,0,0.0,19,-0.9659258262890684,0.2588190451025203,1
2026-01-06 19:01:00+00:00,0,0,0,0,0,0,0.0,19,-0.9659258262890684,0.2588190451025203,1
2026-01-06 19:02:00+00:00,0,0,0,0,0,0,0.0,19,-0.9659258262890684,0.2588190451025203,1
2026-01-06 19:03:00+00:00,0,0,0,0,0,0,0.0,19,-0.9659258262890684,0.2588190451025203,1
2026-01-06 19:04:00+00:00,0,0,0,0,0,0,0.0,19,-0.9659258262890684,0.2588190451025203,1
2026-01-06 19:05:00+00:00,0,0,0,0,0,0,0.0,19,-0.9659258262890684,0.2588190451025203,1
2026-01-06 19:06:00+00:00,0,0,0,0,0,0,0.0,19,-0.9659258262890684,0.2588190451025203,1
2026-01-06 19:07:00+00:00,0,0,0,0,0,0,0.0,19,-0.9659258262890684,0.2588190451025203,1
